product_sku;title;content;rating;date
200011;nice bell;This gankogui is excellent for the two things I need most: an upper elementary drum class instrument & an instrument for church services that is not too overwhelming. I purchased 3 of them, and they sound excellent together. There were some jarring overtones in one of the upper bells, but since each is handmade, I guess it's 'luck of the draw'. If you are looking for an outdoor instrument, this isn't it. If you want a higher, ringing tone that settles into an ensemble, this is a good choice.;5;8/5/2010 10:00
200147;As promised!;Got my “A” and it’s working fine.  Purchase was smooth, delivery was as promised.  Happy all around.  Thank you West Music.;5;2/25/2013 10:00
200213;Just what I expected;The Studio 49 contrabass bars are a wonderful addition to any Orff Ensemble.  With the arrival of B, we now have the entire contrabass bar set.  The bar is exactly what was expected.  Love these instruments.;5;4/9/2013 10:00
200215;Warm Sound;I am so excited to use this C bar. It has such a wonderful tone. Much better quality than the other brand I used to have. This one is definitely worth the money!!;5;4/19/2018 10:00
200239;Basic Beat BBA25 25-note Resonator Bells set is EXCELLENT!;We are very pleased with the Basic Beat BBA25 25-note Resonator Bells set!  It has a very pleasing tone, and we love that the tone bars can be taken out and used individually.  There are as many mallets as there are tone bars, so we can engage many of our students at the same time to play a melody, or chords.  The case holds all of the bells in the set just like a piano or xylophone instrument, so it can also be used as a solo instrument.  It's great!;5;6/4/2013 10:00
200239;Resonator bells;Lovely tone. I used them yesterday in two 3rd grade classes (where I volunteer), and they learned how to make chords. They were very pleased with the sound/result.;5;10/15/2012 10:00
200240;Love these!;Great sound! I love that the colors coordinate with the desk bells because my color-coded scores can be used with these as well!;5;7/13/2011 10:00
200240;Best thing since sliced bread;Seriously -- I use these with kids from ages 3 through 14.  The sound quality is excellent -- nice ring and ping -- and the survive multiple droppings on hard floors and 3 year olds trying to pull them apart and 11 year olds seeing how hard they can hit the bells.  They store neatly in the box.  You can play 5ths in any key, and triads in 3 M and 3 m keys.  I've used them as rhythmic teaching tools as well as for accompaniment.  Buy an extra mallet per set if you need to play triads.  Fabulous product.;5;1/21/2019 20:22
200240;GREAT!;Great sound, great value! These movable bars are good for spatial awareness, organization and recognition of chords, range of motion ... and they come with a carrying case! Can't beat it!;5;6/25/2011 10:00
200242;Better that some...;Purchased this brand after purchasing a different one and the keys fell off before they even came out of the box.  Returned those and bought these as we already have this brand but just didn't want to pay twice what we paid for the others.  Decided that it would be worth the extra cost if the keys stayed on.  They did to a certain extent but one of the keys did pop off the first time we used it.  They are on better than the first product we purchased but they still come off so the  children definitely need to be reminded to only pick them up by the base.;4;10/27/2011 10:00
200249;Great product;These bells not only sound great, they are sturdy!  I used them in an school sing-along and this one set could be heard over 300 kids singing. Also, when I opened them up I accidently dropped them and they fell to my hard wooden floor...not one bell on the set fell off, got loose or even dented. I agree that they are heavy for young hands - I had two 2nd graders help eachother out and it was no problem.;5;9/17/2011 10:00
200249;glorious sound!;These sound lovely! Best sounding bells I own. A little heavy for small hands - they may need assistance!;5;6/26/2011 10:00
200259;Colorful and fun!;I ordered two of these bells for my 9-month old granddaughter who played with them in a baby music class. She loves them! The sounds are so satisfying. I also had a question and wanted to make an adjustment right after I placed my order. Jordan in customer service was terrific and made it happen.;5;6/19/2012 10:00
200261;super duper fun!;Sturdy, colorful, engaging, and fun! Provides opportunity to discuss animals and animal sounds. Love them!;5;6/27/2011 10:00
200264;So fun and easy to use;I purchase this for this 2017-2018 school year based on a music education blog I read. I love it so far. It is so easy to keep a steady beat while doing actions. It helps guides students who are just learning to keep the beat. I'm so pleased and the kids think it is too cool. We call it a Firiki in my class.;5;9/22/2012 10:00
200264;Great for Leading Ensembles;I use this instrument to keep the beat over my Orff Ensemble while directing them.   The sound cuts through all 20 instruments playing at the same time, and it allows me to have one hand free to give cues.  It is portable and lightweight to boot!;5;11/9/2018 8:28
200265;Excellent;Great for individuals with tactile sensory needs!;5;5/20/2012 10:00
200266;Bean bags;Good quality and sturdy!;5;4/27/2012 10:00
200267;bells come off easily;I liked these for the tactile stimulation aspect for special needs students, and the students loved playing them. The sound was good, too. The only problem is that after only a few weeks of use, the bells started coming off. They need to be re-engineered so the bells stay on. It's a great idea that needs improvement.;2;8/18/2011 10:00
200267;Great for individuals with sensory needs;I am a music therapist who works in special education a nd some of my students who need additional input LOVE these!;5;2/15/2019 14:15
200298;Matador bongos;Although these bongos have a good sound, and tune easily, they are a no-go for a busy classroom. Even though the bongos are not used everyday, one drum cracked within a year, and the bracing between the drums loosened within months.;2;8/15/2011 10:00
200333;Love This Drum!;This is a great addition to my drum collection. It is durable and a good size for little hands.;5;10/25/2012 10:00
200333;This little bongo of ours;"My husband and I bought a set of these bongos for our son when he was 3 years old.  He is now 18 years old.  We have now ordered a set for our granddaughter's third birthday from West music.  You see those bongos that we purchased for our son 15 years ago are still in perfect shape and sound just a good as the day we bought them.  Whenever our daughter, son in law and grandbaby comes to visit one of the first things Ava wants to do is play bongos with her pop pop whilst her uncle plays his guitar.  I highly recommend these bongos not just because they are made to outlast generations of toddlers but they are also beautiful with the vibrant rain forest pattern.  I also would like to thank Amy for her great costumer services and friendliness.

Sincerely

Sara J Smith";5;4/26/2011 10:00
200333;Best in Class;These are excellent instruments for small kids. They're durable, safe (no sharp edges, not too heavy), and sound surprisingly excellent! I wouldn't use any other bongos for small children.;5;6/7/2013 10:00
200342;Boomwhackers;great to teach how the physics of music work;5;9/13/2011 10:00
200344;For all ages;students love to sound them;5;2/4/2012 10:00
200346;Kids love them!;My kids can earn BOOM Days!  If they can spell BOOM by earning a letter a day on their behavior.  They really look forward to BOOM day and they are also learning how to read music and playing an instrument, and they are cheap enough everyone has a tube;5;5/25/2011 10:00
200346;Boomwhackers;My students really enjoyed these! I have found it easier for the students to use with the octavator caps I purchased with the boomwhackers.;5;12/2/2011 10:00
200346;great fun;We have not used these much yet, other than for exploration, but I can see we will be able to get a great deal of use out of them.  The size of this set is great for our 0-5 age group.;5;1/18/2012 10:00
200346;Great product;The students in our Music room love using the boom wackers.;5;8/28/2011 10:00
200346;Fun and Easy to play;"The children have fun and learn how to read music and compose songs in groups! these colored musical tubes are the best teaching tools any music teacher could have !

I highly recommend them.";5;6/11/2011 10:00
200346;Students love;i use in the classroom;5;2/5/2012 10:00
200346;We love Boomwhackers!;Boomwhackers are so cheap, and such an easy instrument to get out for students and use.  The colors make it easy for students to learn notation and new songs.;5;5/14/2011 10:00
200346;Boomwhacker order;I love ordering from West Music! I was able to take advantage of a great sale. The boomwhackers were in stock and they arrived at my school about 5 days after I ordered. Great service! Wonderful products!;5;5/31/2012 10:00
200346;Fantastic product!;A great tool for visualizing the relationship between parallel major and minor scales.;5;4/18/2012 10:00
200346;Love;love the Boomwhackers!;5;9/5/2011 10:00
200346;Awesome products!;Our students love these things! They get to hit their knee, the floor, a chair, and even other Boomwhackers!;5;10/20/2012 10:00
200348;great addition to set;The students enjoy playing melodies with these boomwhackers;5;8/29/2011 10:00
200348;Classroom instruments;These Boomwhackers perfectly completed our classroom set. Students beg me to play the instruments and adding in the chromatic set gave me an opportunity to expand my lesson with my students! I am very glad I decided to purchase these as an addition to my classroom set.;5;3/17/2012 10:00
