entity_type,request_path,target_path,store_id,redirect_type
custom,music-books-resources/music-classroom-books-materials/classroom-curriculum/sesame-street-songs-from-the-street-35-years-of-852686/index.php,/music-books-resources/music-classroom-books-materials/classroom-curriculum/sesame-street-songs-from-the-street-35-years-of-852686/,1,301
custom,p/westwood-34-size-beginner-guitar-pack.htm,/,1,301
custom,1002412-sound-recording/jbl-jrx118s-18-inch-compact-subwoofer,/,1,301
custom,1002410-print-music-books/m1100-orff-schulwerk-music-books/m1100c-instrument-arrangements/high-sticking.htm,/music-books-resources/music-classroom-books-materials/orff-schulwerk/high-sticking-841167,1,301
custom,1002410-print-music-books/m1030-general-classroom-music/m1030j-song-collections/101-rounds-for-singing.htm,/,1,301
custom,p/accent-on-achievement-book-3-bass-clarinet-800671,/,1,301
custom,music-books-resources/music-classroom-books-materials/classroom-curriculum/making-musical-instruments-with-kids-67-easy-835038?ppc_keyword=,/music-books/,1,301
custom,37/M-B-and-R-Music-Classroom-Books-and-Materials-Teaching-Resources/-550006.htm,/music-books-resources/music-classroom-books-materials/resources-activities/rhythm-rally-level-2-550006,1,301
custom,/resources/tuning-guide,https://content.westmusic.com/resources/tuning-guide,1,301
custom,p/peavey-kb1-keyboard-amplifier.htm,/,1,301
custom,staging/games-gifts-resources/games-activities/games-activities-by-artie-almeida/music-proficiency-packs,/games-gifts-resources/games-activities/games-activities-by-artie-almeida/music-proficiency-packs/,1,301
custom,1002408-orff/g5050-orff-sets/sonor-westu-orff-instruments-w-palisono-xylophones-and-meisterklasse-metallophones-set-of-10.htm,/specials/orff-meisterklasse/sonor-meisterklasse-west-mb-orff-set-of-10-201617?returnurl=%2fsearch%3fq%3dorff%2bset%26sort%3dprice_desc,1,301
custom,in-our-stores/Early-Childhood-Education/kindermusik-spring-2015,https://content.westmusic.com/in-our-stores/early-childhood-education/sing-play-learn-today/,1,301
custom,p/gator-gkc-1540-keyboard-dust-cover.htm,/,1,301
custom,null/jpitrackstest.htm,/,1,301
custom,/promotions.htm,https://content.westmusic.com/promotions/,1,301
custom,1002403-guitars-folk/g7000-guitars/g7000a-acoustic/g7000a10-6-string/yamaha-fg700ms-dreadnought-acoustic-guitar-satin-finish.htm,/,1,301
custom,p/boss-ch-1-stereo-super-chorus-effects-pedal-350490/index.php,/p/boss-ch-1-stereo-super-chorus-effects-pedal-350490/,1,301
custom,1002406-cds-dvds/m5030-kids-cds-dvds/m5030d-movement-activities/kids-country-song-and-dance,/,1,301
custom,How_to_Choose_the_Right_Size_Ukulele.pdf,http://content.westmusic.com/ukulele-info/,1,301
custom,supplier.htm?prod=2125,/,1,301
custom,1002410-print-music-books/m1090-music-therapy-books/m1090c-developmental-disabilities/product_slug_16858.htm,/specialty-niche/music-therapy-tools/developmental-disabilities-toolbox-813950,1,301
custom,accent-kbos-oboe-swab.htm,/specials/student-rental-beginning-items/west-music-silk-oboe-swab-set-452405?returnurl=%2fsearch%3fq%3doboe%2bswab,1,301
custom,children-s-literature/silly-tilly-845146/index.php,/children-s-literature/silly-tilly-845146/,1,301
custom,1002403-guitars-folk/g7000-guitars/g7000a-acoustic/g7000a10-6-string/takamine-g340sc-acoustic-dreadnought-guitar.htm,/,1,301
custom,guitars-folk/ukuleles/westwood-soprano-ukulele-classroom-set-set-of-20-305912/index.php,/guitars-folk/ukuleles/westwood-soprano-ukulele-classroom-set-set-of-20-305912/,1,301
custom,s/university-of-oklahoma-tulsa?aff=5126,/specialty-niche/summer-workshops/university-of-oklahoma-tulsa-kodaly/,1,301
custom,supplier.htm?prod=14400,/,1,301
custom,1002397-accessories/g1030-music-gifts-apparel/g1030a-apparel/g1030a10-hats,/music-books-resources/music-gifts/musical-gift-apparel/,1,301
custom,1002402-group-drumming/p1060-rhythm-collections/west-music-wm30-30-player-classroom-kit.htm,/drums-percussion/group-drumming/group-rhythm-collections/westco-30-player-classroom-kit-204154,1,301
custom,holidaymemories,https://www.westmusic.com/holidays-at-west-music/?utm_source=Direct%20Mail%203&utm_medium=Mail&utm_campaign=Holiday2020,1,301
custom,1002410-print-music-books/m1030-general-classroom-music/m1030d-cross-curricular/practical-puppetry.htm,/music-books-resources/music-classroom-books-materials/classroom-curriculum/practical-puppetry-837270,1,301
custom,1002410-print-music-books/m1025-children-s-books/m1025n-sound-exploration/m1025n10-counting-books/there-were-ten-in-the-bed.htm,/children-s-literature/,1,301
custom,blogs/cedar-rapids-teacher-feature-amy-brandt.aspx,https://content.westmusic.com/,1,301
custom,1002410-print-music-books/m1025-children-s-books/m1025e-illustrated-songs/over-in-the-garden.htm,/children-s-literature/over-in-the-garden-838029,1,301
custom,supplier.htm?prod=4532,/,1,301
custom,Guitar-and-Folk-Acc-Capos/Shubb-Guitar-and-Folk-Acc-Capos.htm,/guitars-folk/accessories/guitar-folk-capos/shubb-c1-steel-string-capo-350292?returnurl=%2fsearch%3fq%3dshubb,1,301
custom,p/homeward-bound-satb-spc10838,/,1,301
custom,_anotherPage.aspx/blogs/-extraordinary-associate-of-the-month-sam-marchuck.aspx,/home,1,301
custom,p/rovner-1r-dark-bb-clarinet-ligature-450285/index.php,/p/rovner-1r-dark-bb-clarinet-ligature-450285/,1,301
custom,1002409-drums-percussion/p1030-world-drums/p1030j-frame-drums/p1030j13-hand-drums/nino-percussion-abs-pre-tuned-frame-drums,/,1,301
custom,remotereading,https://content.westmusic.com/remote-reading-repertoire/,1,301
custom,1002409-drums-percussion/p2020-hand-mounted-percussion/p2020b-blocks-log-drums/p2020b12-log-drums/african-rhythms-d7-4-pitch-midbass-tongue-drum-with-mallets.htm,/,1,301
custom,1002409-drums-percussion/p2020-hand-mounted-percussion/p2020h-shakers-rattles-guiros/latin-percussion-lp001-glo-glow-in-the-dark-egg-shaker-single-w-logo?utm_source=bing&utm_medium=cpc&utm_term=egg%20shaker%20instrument&utm_content=%7BK_CREAT,/,1,301
custom,content/index.php?option=com_content&task=blogcategory&id=50&Itemid=144,/,1,301
