"User Guide","Guía del usuario"
"Extension is disabled","La extensión está deshabilitada"
"Incorrect API credentials","Credenciales de API incorrectas"
"Validation settings are correct","La configuración de validación es correcta"
"UPS","UPS"
"USPS","USPS"
"Google","Google"
"Empty Google API key.","La clave vacía de Google API."
"Incorrect response from UPS API.","Respuesta incorrecta de UPS API."
"Empty UPS credentials.","Credenciales de UPS vacías."
"Only addresses from USA can be checked","Solo las direcciones de EE. UU. Pueden verificarse"
"Empty USPS Account ID.","ID de cuenta vacía de USPS."
"Incorrect response from USPS API.","Respuesta incorrecta de la API de USPS."
"Please enter all required address fields","Por favor ingrese todos los campos de dirección requeridos"
"Validation mode <' . . '> is not supported","Modo de validación <'. . '> no es compatible"
"[XML2Array] Error parsing the XML string.","[XML2Array] Error al analizar la cadena XML."
"[XML2Array] The input XML object should be of type: DOMDocument.","[XML2Array] El objeto XML de entrada debe ser de tipo: DOMDocument."
"'[XMLParser] Illegal character in attribute name. attribute: ' . . ' in node: ' .","'[XMLParser] Carácter ilegal en el nombre del atributo. atributo: '. . 'en nodo:'."
"'[XMLParser] Illegal character in tag name. tag: ' . . ' in node: ' .","'[XMLParser] Carácter ilegal en el nombre de la etiqueta. etiqueta: '. . 'en nodo:'."
"Please review your address and make any necessary changes.","Por favor revise su dirección y haga los cambios necesarios."
"Suggested Address ...","Dirección sugerida ..."
"Address Validation Failed","La validación de la dirección falló"
"Continue","Continuar"
"Address Validation","Validación de dirección"
"IWD Agency","Agencia IWD"
"Info","Información"
"Version","Versión"
"Documentation","Documentación"
"General","General"
"Enable","Habilitar"
"Allow Invalid Address Checkout","Permitir el pago con dirección no válida"
"If yes, then customers with an invalid address will be able to place their order. If no, customer will have to provide a valid address to place order.","En caso afirmativo, los clientes con una dirección no válida podrán realizar su pedido. Si no, el cliente deberá proporcionar una dirección válida para realizar el pedido."
"Content","Contenido"
"Validation Pop-up Title","Título emergente de validación"
"Invalid Address Message","Mensaje de dirección inválido"
"Original Address","Direccion original"
"Suggested Address","Dirección sugerida"
"Validation Settings","Configuraciones de validación"
"Validation Service","Servicio de Validación"
"Test Mode","Modo de prueba"
"Login","Iniciar sesión"
"Password","Contraseña"
"Access Key","Llave de acceso"
"Display Address Type","Mostrar el tipo de dirección"
"Allow to display type (Residential/Commercial) of suggested address in validation pop-up.","Permitir mostrar el tipo (residencial / comercial) de la dirección sugerida en la ventana emergente de validación."
"Account ID","ID de la cuenta"
"API Key","Clave API"
"<a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank"">Get a Key for Google Maps Geocoding API.</a>","<a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank""> Obtén una clave para la API de geocodificación de Google Maps. </a>"
"Use Original Address","Utilice la dirección original"
"Use Suggested Address","Utilice la dirección sugerida"
"Please review your billing address and make any necessary changes.","Revise su dirección de facturación y realice los cambios necesarios."
