"Something went wrong while process the request.","Something went wrong while process the request."
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Something went wrong while process preview styles.","Something went wrong while process preview styles."
"Something went wrong while saving the page.","Something went wrong while saving the page."
"Something went wrong while process preview template.","Something went wrong while process preview template."
"Something went wrong while saving the template.","Something went wrong while saving the template."
General,General
"CSS Animation","CSS Animation"
"Select type of animation for element to be animated when it ""enters"" the browsers viewport (Note: works only in modern browsers).","Select type of animation for element to be animated when it ""enters"" the browsers viewport (Note: works only in modern browsers)."
"Animation Duration (s)","Animation Duration (s)"
"Animation Delay(s)","Animation Delay(s)"
"Animation Infinite","Animation Infinite"
"Disable Element","Disable Element"
"Hide on Page Load","Hide on Page Load"
"Hide on","Hide on"
"Element ID","Element ID"
"Enter element ID (Note: make sure it is unique and valid according to <a href=""http://www.w3schools.com/tags/att_global_id.asp"" target=""_blank"">w3c specification</a>)","Enter element ID (Note: make sure it is unique and valid according to <a href=""http://www.w3schools.com/tags/att_global_id.asp"" target=""_blank"">w3c specification</a>)"
Z-Index,Z-Index
"Element Class Attribute","Element Class Attribute"
"Style particular content element differently - add a class name and refer to it in custom CSS.","Style particular content element differently - add a class name and refer to it in custom CSS."
"Element Inner Class Attribute","Element Inner Class Attribute"
"Design Options","Design Options"
"Device type","Device type"
"Simplify Controls","Simplify Controls"
Radius,Radius
"Border Radius Top Left","Border Radius Top Left"
"Border Top Radius Right","Border Top Radius Right"
"Border Radius Bottom Right","Border Radius Bottom Right"
"Border Radius Bottom Left","Border Radius Bottom Left"
Margin,Margin
"Margin Top","Margin Top"
"Margin Right","Margin Right"
"Margin Bottom","Margin Bottom"
"Margin Left","Margin Left"
Border,Border
"Border Top Width","Border Top Width"
"Border Right Width","Border Right Width"
"Border Bottom Width","Border Bottom Width"
"Border Left Width","Border Left Width"
Padding,Padding
"Padding Top","Padding Top"
"Padding Right","Padding Right"
"Padidng Bottom","Padidng Bottom"
"Padding Left","Padding Left"
Alignment,Alignment
"Border Color","Border Color"
"Border Style","Border Style"
"Theme defaults","Theme defaults"
"Minimum Height","Minimum Height"
Float,Float
"Background Type","Background Type"
"Background Color","Background Color"
"Background Position","Background Position"
"Background Image","Background Image"
"Background Style","Background Style"
"YouTube / Vimeo","YouTube / Vimeo"
"Example: https://www.youtube.com/watch?v=lMJXxhRFO1k","Example: https://www.youtube.com/watch?v=lMJXxhRFO1k"
Volume,Volume
"0 to 100","0 to 100"
"Start Time","Start Time"
"Start time in seconds when video will be started (this value will be applied also after loop).","Start time in seconds when video will be started (this value will be applied also after loop)."
"End Time","End Time"
"End time in seconds when video will be ended.","End time in seconds when video will be ended."
"Enable on Mobile Devices","Enable on Mobile Devices"
"Parallax Type","Parallax Type"
None,None
"Parallax Speed","Parallax Speed"
"Number from -1.0 to 2.0","Number from -1.0 to 2.0"
"Mouse Parallax","Mouse Parallax"
Size(px),Size(px)
Speed(milliseconds),Speed(milliseconds)
"Responsive Options","Responsive Options"
