"Download PDF","Download PDF"
N/A,N/A
No,No
"Error downloading file","Error downloading file"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
Email,Email
"Page / Product Title","Page / Product Title"
"Review Summary","Review Summary"
"Product Price Section","Product Price Section"
"Product Price","Product Price"
"Stock / SKU","Stock / SKU"
"Product Options","Product Options"
"Product Options Bottom","Product Options Bottom"
"QTY input box","QTY input box"
"Add to Cart button","Add to Cart button"
"Product Description","Product Description"
"More Information","More Information"
"Use Custom CSS Selector","Use Custom CSS Selector"
"Insert Before","Insert Before"
"Insert After","Insert After"
"Prepend To","Prepend To"
"Append To","Append To"
"In order to use the Product Page PDF extension, 
            the mPDF library should be installed on your system. 
            You can either try the automatic installation or install 
            the library manually by executing a shell command on your server.","In order to use the Product Page PDF extension, 
            the mPDF library should be installed on your system. 
            You can either try the automatic installation or install 
            the library manually by executing a shell command on your server."
"Automatic installation failed, please try manually installing the mPDF library","Automatic installation failed, please try manually installing the mPDF library"
"Install Automatically","Install Automatically"
"Additional Information","Additional Information"
label,label
value,value
"From: ","From: "
"To: ","To: "
Description,Description
"Starting at:","Starting at:"
"Product Images","Product Images"
"Additional Options","Additional Options"
"Products in this set","Products in this set"
"Short Description","Short Description"
"Plugin Company","Plugin Company"
"Product Page PDF","Product Page PDF"
"Front-end Settings","Front-end Settings"
"Upload Icon","Upload Icon"
"Allowed file types: .jpeg, .gif, .png<br>Leave empty to use default PDF icon.","Allowed file types: .jpeg, .gif, .png<br>Leave empty to use default PDF icon."
"General PDF Settings","General PDF Settings"
"Default Font Size","Default Font Size"
"Default Font Color","Default Font Color"
"Default Font Family","Default Font Family"
"PDF Header Settings","PDF Header Settings"
"Use Default Store Logo","Use Default Store Logo"
"Custom Store Logo","Custom Store Logo"
"Allowed file types: .jpeg, .gif, .png","Allowed file types: .jpeg, .gif, .png"
"Show Store Name","Show Store Name"
"Store Name","Store Name"
"Store Name Font Size","Store Name Font Size"
"Store Name Font Color","Store Name Font Color"
"Use Custom Store Name Font","Use Custom Store Name Font"
"Store Name Font Family","Store Name Font Family"
"Left Header Text Content","Left Header Text Content"
"Center Header Text Content","Center Header Text Content"
"Right Header Text Content","Right Header Text Content"
"Header Text Font Size","Header Text Font Size"
"Header Text Font Color","Header Text Font Color"
"Use Custom Header Font","Use Custom Header Font"
"Header Font Family","Header Font Family"
"Show Header Separator","Show Header Separator"
"Header Separator Thickness","Header Separator Thickness"
"Header Separator Color","Header Separator Color"
"Content Section Heading Settings","Content Section Heading Settings"
"Section Heading Font Size","Section Heading Font Size"
"Section Heading Color","Section Heading Color"
"Use Custom Section Heading Font","Use Custom Section Heading Font"
"Custom Section Heading Font","Custom Section Heading Font"
"Content Section Sort Order","Content Section Sort Order"
"Drag to change sort order","Drag to change sort order"
"Product Title and Price Settings","Product Title and Price Settings"
"Product Title Font Size","Product Title Font Size"
"Product Title Font Color","Product Title Font Color"
"Use Custom Product Title Font","Use Custom Product Title Font"
"Product Title Font Family","Product Title Font Family"
"Show Product Price","Show Product Price"
"Product Price Font Size","Product Price Font Size"
"Product Price Font Color","Product Price Font Color"
"Use Custom Product Price Font","Use Custom Product Price Font"
"Product Price Font Family","Product Price Font Family"
"Product Price Background Color","Product Price Background Color"
"Show on New Page","Show on New Page"
"Image Gallery Settings","Image Gallery Settings"
"Show Image Gallery","Show Image Gallery"
"Image Gallery Style","Image Gallery Style"
"Show Image Border","Show Image Border"
"Image Border Color","Image Border Color"
"Show Configurable Child Images","Show Configurable Child Images"
"Filter Duplicate Images","Filter Duplicate Images"
"Gallery Image Count","Gallery Image Count"
"Short Description Settings","Short Description Settings"
"Show Short Description","Show Short Description"
"Product Description Settings","Product Description Settings"
"Show Product Description","Show Product Description"
"Additional Information Settings","Additional Information Settings"
"Show Additional Information","Show Additional Information"
"Hide Empty Attributes","Hide Empty Attributes"
"Configurable Product Settings","Configurable Product Settings"
"Show Configurable Product Options","Show Configurable Product Options"
"Bundled Product Settings","Bundled Product Settings"
"Show Bundled Product Options","Show Bundled Product Options"
"Grouped Product Settings","Grouped Product Settings"
"Show Grouped Product Options","Show Grouped Product Options"
"Custom Options Settings","Custom Options Settings"
"Show Custom Options","Show Custom Options"
"PDF Footer Settings","PDF Footer Settings"
"Show Footer","Show Footer"
"Show Product Page URL","Show Product Page URL"
"Show Timestamp","Show Timestamp"
"Show Pagination","Show Pagination"
"Page Number Font Color","Page Number Font Color"
"Use Custom Page Number Font","Use Custom Page Number Font"
"Page Number Font Family","Page Number Font Family"
"Pagination Background Color","Pagination Background Color"
"Footer Font Size","Footer Font Size"
"Footer Font Color","Footer Font Color"
"Use Custom Footer Font","Use Custom Footer Font"
"Footer Font Family","Footer Font Family"
