"Retrigger the Variables, Triggers and Tags Setup if you make changes here","Retrigger the Variables, Triggers and Tags Setup if you make changes here"
"Json was generated successfully. You can download the file by clicking on the Download Json button.","Json was generated successfully. You can download the file by clicking on the Download Json button."
"Account ID must be specified","Account ID must be specified"
"Container ID must be specified","Container ID must be specified"
"Measurement ID must be specified","Measurement ID must be specified"
"Public ID must be specified","Public ID must be specified"
"Conversion ID must be specified","Conversion ID must be specified"
"Conversion Label must be specified","Conversion Label must be specified"
"Conversion Currency Code must be specified","Conversion Currency Code must be specified"
"Remarketing Conversion Code must be specified","Remarketing Conversion Code must be specified"
Advanced,Advanced
"Advanced Search Result","Advanced Search Result"
"Search Result","Search Result"
ID,ID
SKU,SKU
"In the head tag","In the head tag"
"Before body close tag","Before body close tag"
Subtotal,Subtotal
Grandtotal,Grandtotal
Child,Child
Parent,Parent
"Generate Json for Variables, Triggers and Tags","Generate Json for Variables, Triggers and Tags"
"Download Json","Download Json"
"Crossel Products","Crossel Products"
crossel_products,crossel_products
"Related Products From","Related Products From"
"Upsell Products From","Upsell Products From"
"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Learn More","Learn More"
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"Upsell Products","Upsell Products"
"More Choices:","More Choices:"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"Please specify the Account ID","Please specify the Account ID"
"Please specify the Container ID","Please specify the Container ID"
"Please specify the Measurement ID","Please specify the Measurement ID"
"Please specify the Account ID in GTM API Configuration section","Please specify the Account ID in GTM API Configuration section"
"Please specify the Container ID in GTM API Configuration section","Please specify the Container ID in GTM API Configuration section"
"Please specify the Google Conversion Id","Please specify the Google Conversion Id"
"Please specify the Google Conversion Label","Please specify the Google Conversion Label"
"Please specify the Google Convesion Currency Code","Please specify the Google Convesion Currency Code"
"Please specify the Public Id","Please specify the Public Id"
"Please specify the Conversion Code","Please specify the Conversion Code"
"Google Analytics 4 Ecommerce","Google Analytics 4 Ecommerce"
"General Configuration","General Configuration"
"Enable GA4","Enable GA4"
"Google Tag Manager Javascript Code","Google Tag Manager Javascript Code"
"Google Tag Manager Non-Js Code","Google Tag Manager Non-Js Code"
"Impression Chunks Size","Impression Chunks Size"
"Product Identifier","Product Identifier"
"Enable Brand","Enable Brand"
"Brand Attribute","Brand Attribute"
"Enable Variant","Enable Variant"
"Order Success Page Total Calculation","Order Success Page Total Calculation"
"Exclude Tax From Transaction","Exclude Tax From Transaction"
"Tax will be deduced from Grand Total","Tax will be deduced from Grand Total"
"Exclude Shipping From Transaction","Exclude Shipping From Transaction"
"Shipping charges will deduced from Grand Total","Shipping charges will deduced from Grand Total"
"Exclude Shipping Including Tax","Exclude Shipping Including Tax"
"Exclude Orders with 0 value","Exclude Orders with 0 value"
"Orders with value 0.00 can be excluded from purchase transactions if you set this option to Yes","Orders with value 0.00 can be excluded from purchase transactions if you set this option to Yes"
"Success Page Paths","Success Page Paths"
