"Subscribe","Submit"
"My Cart", "Cart"
"Add to Wish List","Favorite"
"Related Products","Recommended Products"
"Available in Stores","Check In-Store Availability"
"Free delivery","Free shipping"
"Apply Discount Code","Apply Promo Code"
"Enter discount code","Enter promo code"
"Apply Discount","Apply Promo"
"Create New Customer Account","Create new Account"
"Grand Total","Total"
"Grand Total (Incl.Tax)","Total (Incl.Tax)"
"Grand Total (Excl.Tax)","Total (Excl.Tax)"
"Shipping & Handling","Shipping"
"We'll email you an order confirmation with details and tracking info.","You will receive an immediate email containing your order details. We will send another email when your shipment is on the way."
"Sorry, no quotes are available for this order at this time","For international orders, please return to the home page and select your country within the Zonos Hello widget (top right of screen)"
+"Work Time Today:","Hours:"
"Create a New Account","Create a New Personal Account"
